nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,data_source,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,min_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,opp_l10_pts,opp_l10_reb,opp_l10_ast,opp_l10_stl,opp_l10_blk,opp_last_game_pts,opp_last_game_reb,opp_last_game_ast,opp_last_game_date,opp_games_played,opp_home_avg_pts,opp_away_avg_pts,opp_last_3_avg_pts,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source,ctx_adj,days_rest,b2b_flag,home_away,rest_adj,schedule_source,h2h_last_stat,h2h_last_date,h2h_games_vs_opp,h2h_avg,h2h_over_rate,intel_season_games,intel_season_avg,intel_season_std,intel_l5_avg,intel_l10_avg,intel_l5_vs_season,intel_l10_vs_season,intel_cv_pct,intel_season_hit_rate,intel_cushion,intel_opp_avg_allowed,intel_opp_vs_league_pct
1631097,10938582,10938582,299981,139684,2026-03-29T15:30:00.000-04:00,,LAC,Bennedict Mathurin,G-F,LAC,MIL,23.5,Fantasy Score,fantasy,Goblin,28.5,1,https://static.prizepicks.com/images/manual/BennedictMathurin.png,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,4683634.0,nba_db,33.9,44.8,34.8,38.7,43.2,36.4,45.4,50.0,16.1,49.1,39.08,39.24,39.24,5.0,0.0,0.0,1.0,1.0,0.0,0.9,0.1,OK,30.6,OK,5.0,5.0,0.0,0.0,1.0,0.0,30.6,39.08,HIGH,HIGH_VOL,PRIMARY,13.0,6.0,1.0,0.0,0.0,13.0,6.0,1.0,2025-12-23,1.0,13.0,,13.0,222.5,-14.5,118.5,True,False,NORMAL,live,-0.05,1,False,AWAY,0.0,cache,13.0,2025-12-23,1,13.0,0.0,42.0,34.669,10.825,39.08,39.24,4.411,4.571,31.2,85.7,11.169,25.711,0.5
1627739,10938577,10938577,217539,139684,2026-03-29T15:30:00.000-04:00,,LAC,Kris Dunn,G,LAC,MIL,22.0,Fantasy Score,fantasy,Demon,16.5,1,https://static.prizepicks.com/images/players/NBA/Kris_Dunn_NBA_player_tJ5Hrqq0DNWwixPPj6Tgtir.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,2991139.0,nba_db,13.1,20.5,19.2,25.9,29.4,14.7,19.4,27.7,27.8,28.9,21.62,22.66,22.66,2.0,3.0,0.0,0.4,0.4,0.6,0.5,0.5,OK,26.4,OK,5.0,2.0,3.0,0.0,0.4,0.6,26.4,21.62,MEDIUM,MID_VOL,PRIMARY,7.0,1.0,3.0,2.0,0.0,7.0,1.0,3.0,2026-03-23,1.0,7.0,,7.0,222.5,-14.5,118.5,True,False,NORMAL,live,-0.05,1,False,AWAY,0.0,cache,7.0,2026-03-23,1,7.0,0.0,60.0,23.937,8.728,21.62,22.66,-2.317,-1.277,36.5,53.3,1.937,25.711,0.5
1631172,10938588,10938588,300650,139684,2026-03-29T15:30:00.000-04:00,MIL,,Ousmane Dieng,F,MIL,LAC,20.5,Fantasy Score,fantasy,Goblin,25.5,1,https://static.prizepicks.com/images/manual/Ousmane_Dieng.png,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.2,27.6,55.2,10.0,16.0,12.0,8.0,9.0,11.0,8.0,8.0,5.0,19.0,9.462365591397848,9.0,Above Avg,4997526.0,nba_db,41.7,33.3,22.0,23.4,29.7,35.5,-0.5,44.0,19.8,39.1,30.02,28.8,28.8,5.0,0.0,0.0,1.0,1.0,0.0,0.8,0.2,OK,30.8,OK,5.0,5.0,0.0,0.0,1.0,0.0,30.8,30.02,HIGH,HIGH_VOL,PRIMARY,7.0,5.0,7.0,0.0,0.0,7.0,5.0,7.0,2026-03-23,1.0,,7.0,7.0,222.5,14.5,104.0,True,False,NORMAL,live,-0.05,0,True,HOME,-0.1,cache,7.0,2026-03-23,1,7.0,0.0,36.0,18.947,14.931,30.02,28.8,11.073,9.853,78.8,47.2,-1.553,24.761,-3.3
1626167,10938585,10938585,269527,139684,2026-03-29T15:30:00.000-04:00,MIL,,Myles Turner,C-F,MIL,LAC,19.0,Fantasy Score,fantasy,Goblin,23.5,1,https://static.prizepicks.com/images/players/NBA/Myles_Turner_NBA_player_m62QTJhZKxz0vSvMk9qKafM.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.2,27.6,55.2,10.0,16.0,12.0,8.0,9.0,11.0,8.0,8.0,5.0,19.0,9.462365591397848,9.0,Above Avg,3133628.0,nba_db,39.2,12.5,19.1,9.6,29.3,19.7,17.8,46.3,7.0,18.1,21.94,21.86,21.86,3.0,2.0,0.0,0.6,0.6,0.4,0.5,0.5,OK,23.4,OK,5.0,3.0,2.0,0.0,0.6,0.4,23.4,21.94,MEDIUM,MID_VOL,PRIMARY,7.0,0.0,0.0,1.0,1.0,7.0,0.0,0.0,2026-03-23,1.0,,7.0,7.0,222.5,14.5,104.0,True,False,NORMAL,live,-0.05,0,True,HOME,-0.1,cache,7.0,2026-03-23,1,7.0,0.0,52.0,29.313,13.262,21.94,21.86,-7.373,-7.453,45.2,73.1,10.313,24.761,-3.3
1628398,10938593,10938593,227344,139684,2026-03-29T15:30:00.000-04:00,MIL,,Kyle Kuzma,F,MIL,LAC,18.0,Fantasy Score,fantasy,Goblin,23.0,1,https://static.prizepicks.com/images/players/NBA/Kyle_Kuzma_NBA_player_CzuU40biz9ZDpj2ZXS5rpoIs.webp,,,,,OK,0,112.5,87.6,41.0,36.4,13.4,21.6,14.2,51.2,27.6,55.2,10.0,16.0,12.0,8.0,9.0,11.0,8.0,8.0,5.0,19.0,9.462365591397848,9.0,Above Avg,3134907.0,nba_db,31.9,24.5,9.5,33.1,22.3,15.6,56.6,33.9,25.4,22.1,24.26,27.49,27.49,4.0,1.0,0.0,0.8,0.8,0.2,0.8,0.2,OK,24.0,OK,5.0,4.0,1.0,0.0,0.8,0.2,24.0,24.26,MEDIUM,MID_VOL,PRIMARY,,,,,,,,,,,,,,222.5,14.5,104.0,True,False,NORMAL,live,-0.05,0,True,HOME,-0.1,cache,,,0,,,51.0,29.051,11.853,24.26,27.49,-4.791,-1.561,40.8,82.4,11.051,24.761,-3.3
1627739,10938591,10938591,217539,139684,2026-03-29T15:30:00.000-04:00,,LAC,Kris Dunn,G,LAC,MIL,12.0,Fantasy Score,fantasy,Goblin,16.5,1,https://static.prizepicks.com/images/players/NBA/Kris_Dunn_NBA_player_tJ5Hrqq0DNWwixPPj6Tgtir.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,2991139.0,nba_db,13.1,20.5,19.2,25.9,29.4,14.7,19.4,27.7,27.8,28.9,21.62,22.66,22.66,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,26.4,OK,5.0,5.0,0.0,0.0,1.0,0.0,26.4,21.62,MEDIUM,MID_VOL,PRIMARY,7.0,1.0,3.0,2.0,0.0,7.0,1.0,3.0,2026-03-23,1.0,7.0,,7.0,222.5,-14.5,118.5,True,False,NORMAL,live,-0.05,1,False,AWAY,0.0,cache,7.0,2026-03-23,1,7.0,0.0,60.0,23.937,8.728,21.62,22.66,-2.317,-1.277,36.5,95.0,11.937,25.711,0.5
202695,10938566,10938566,188019,139684,2026-03-29T15:30:00.000-04:00,,LAC,Kawhi Leonard,F,LAC,MIL,46.0,Fantasy Score,fantasy,Standard,46.0,0,https://static.prizepicks.com/images/players/nba/Kawhi_Leonard_c12fb587-fc86-471c-8a84-19caf31325ce.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,6450.0,nba_db,57.6,44.2,55.5,60.1,46.6,48.2,44.8,71.5,60.4,47.5,52.8,53.64,53.64,4.0,1.0,0.0,0.8,0.8,0.2,0.8,0.2,OK,31.0,OK,5.0,4.0,1.0,0.0,0.8,0.2,31.0,52.8,HIGH,HIGH_VOL,PRIMARY,28.0,5.0,3.0,3.0,1.0,28.0,5.0,3.0,2026-03-23,1.0,28.0,,28.0,222.5,-14.5,118.5,True,False,NORMAL,live,-0.05,1,False,AWAY,0.0,cache,28.0,2026-03-23,1,28.0,0.0,55.0,52.473,15.097,52.8,53.64,0.327,1.167,28.8,72.7,6.473,25.711,0.5
202695,10930615,10930615,188019,139684,2026-03-29T15:30:00.000-04:00,,LAC,Kawhi Leonard,F,LAC,MIL,44.5,Pts+Rebs,pr,Demon,34.5,2,https://static.prizepicks.com/images/players/nba/Kawhi_Leonard_c12fb587-fc86-471c-8a84-19caf31325ce.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,6450.0,nba_db,36.0,33.0,33.0,37.0,33.0,37.0,32.0,50.0,36.0,33.0,34.4,36.0,36.0,0.0,5.0,0.0,0.0,0.0,1.0,0.1,0.9,OK,31.0,OK,5.0,0.0,5.0,0.0,0.0,1.0,31.0,34.4,HIGH,HIGH_VOL,PRIMARY,28.0,5.0,3.0,3.0,1.0,28.0,5.0,3.0,2026-03-23,1.0,28.0,,28.0,222.5,-14.5,118.5,True,False,NORMAL,live,-0.05,1,False,AWAY,0.0,cache,28.0,2026-03-23,1,28.0,0.0,55.0,34.055,9.759,34.4,36.0,0.345,1.945,28.7,10.9,-10.445,14.674,-0.2
202695,10930405,10930405,188019,139684,2026-03-29T15:30:00.000-04:00,,LAC,Kawhi Leonard,F,LAC,MIL,43.5,Pts+Rebs+Asts,pra,Demon,38.5,2,https://static.prizepicks.com/images/players/nba/Kawhi_Leonard_c12fb587-fc86-471c-8a84-19caf31325ce.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,6450.0,nba_db,40.0,35.0,36.0,42.0,34.0,37.0,35.0,55.0,44.0,35.0,37.4,39.3,39.3,0.0,5.0,0.0,0.0,0.0,1.0,0.2,0.8,OK,31.0,OK,5.0,0.0,5.0,0.0,0.0,1.0,31.0,37.4,HIGH,HIGH_VOL,PRIMARY,28.0,5.0,3.0,3.0,1.0,28.0,5.0,3.0,2026-03-23,1.0,28.0,,28.0,222.5,-14.5,118.5,True,False,NORMAL,live,-0.05,1,False,AWAY,0.0,cache,28.0,2026-03-23,1,28.0,0.0,55.0,37.545,10.016,37.4,39.3,-0.145,1.755,26.7,18.2,-5.955,17.265,0.5
202695,10930404,10930404,188019,139684,2026-03-29T15:30:00.000-04:00,,LAC,Kawhi Leonard,F,LAC,MIL,41.5,Pts+Rebs+Asts,pra,Demon,38.5,1,https://static.prizepicks.com/images/players/nba/Kawhi_Leonard_c12fb587-fc86-471c-8a84-19caf31325ce.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,6450.0,nba_db,40.0,35.0,36.0,42.0,34.0,37.0,35.0,55.0,44.0,35.0,37.4,39.3,39.3,1.0,4.0,0.0,0.2,0.2,0.8,0.3,0.7,OK,31.0,OK,5.0,1.0,4.0,0.0,0.2,0.8,31.0,37.4,HIGH,HIGH_VOL,PRIMARY,28.0,5.0,3.0,3.0,1.0,28.0,5.0,3.0,2026-03-23,1.0,28.0,,28.0,222.5,-14.5,118.5,True,False,NORMAL,live,-0.05,1,False,AWAY,0.0,cache,28.0,2026-03-23,1,28.0,0.0,55.0,37.545,10.016,37.4,39.3,-0.145,1.755,26.7,30.9,-3.955,17.265,0.5
202695,10929425,10929425,188019,139684,2026-03-29T15:30:00.000-04:00,,LAC,Kawhi Leonard,F,LAC,MIL,39.5,Points,pts,Demon,27.5,3,https://static.prizepicks.com/images/players/nba/Kawhi_Leonard_c12fb587-fc86-471c-8a84-19caf31325ce.webp,,,,,OK,0,116.7,88.0,41.5,39.8,14.8,24.1,13.1,48.2,26.7,53.4,20.0,29.0,28.0,9.0,13.0,3.0,5.0,5.0,19.0,26.0,15.774193548387096,17.0,Avg,6450.0,nba_db,28.0,27.0,28.0,34.0,25.0,31.0,28.0,45.0,29.0,28.0,28.4,30.3,30.3,0.0,5.0,0.0,0.0,0.0,1.0,0.1,0.9,OK,31.0,OK,5.0,0.0,5.0,0.0,0.0,1.0,31.0,28.4,HIGH,HIGH_VOL,PRIMARY,28.0,5.0,3.0,3.0,1.0,28.0,5.0,3.0,2026-03-23,1.0,28.0,,28.0,222.5,-14.5,118.5,True,False,NORMAL,live,-0.05,1,False,AWAY,0.0,cache,28.0,2026-03-23,1,28.0,0.0,55.0,27.873,8.654,28.4,30.3,0.527,2.427,31.0,9.1,-11.627,10.614,-0.4
