nba_player_id,projection_id,pp_projection_id,player_id,pp_game_id,start_time,pp_home_team,pp_away_team,player,pos,team,opp_team,line,prop_type,prop_norm,pick_type,standard_line,deviation_level,image_url,player_1,player_2,team_1,team_2,id_status,is_combo_player,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER,ESPN_ATHLETE_ID,data_source,stat_g1,stat_g2,stat_g3,stat_g4,stat_g5,stat_g6,stat_g7,stat_g8,stat_g9,stat_g10,stat_last5_avg,stat_last10_avg,stat_season_avg,last5_over,last5_under,last5_push,last5_hit_rate,line_hit_rate_over_ou_5,line_hit_rate_under_ou_5,line_hit_rate_over_ou_10,line_hit_rate_under_ou_10,stat_status,min_last5_avg,hit_rate_status,line_games_played_5,line_hits_over_5,line_hits_under_5,line_hits_push_5,line_hit_rate_over_5,line_hit_rate_under_5,min_player_avg,pts_player_avg,minutes_tier,shot_role,usage_role,opp_l10_pts,opp_l10_reb,opp_l10_ast,opp_l10_stl,opp_l10_blk,opp_last_game_pts,opp_last_game_reb,opp_last_game_ast,opp_last_game_date,opp_games_played,opp_home_avg_pts,opp_away_avg_pts,opp_last_3_avg_pts,game_total,spread,implied_team_total,blowout_risk,low_total_flag,pace_tier,odds_source,ctx_adj,days_rest,b2b_flag,home_away,rest_adj,schedule_source,h2h_last_stat,h2h_last_date,h2h_games_vs_opp,h2h_avg,h2h_over_rate,intel_season_games,intel_season_avg,intel_season_std,intel_l5_avg,intel_l10_avg,intel_l5_vs_season,intel_l10_vs_season,intel_cv_pct,intel_season_hit_rate,intel_cushion,intel_opp_avg_allowed,intel_opp_vs_league_pct
1630558,10966854,10966854,227883,139914,2026-03-30T19:00:00.000-04:00,MIA,,Davion Mitchell,G,MIA,PHI,30.5,Fantasy Score,fantasy,Demon,24.5,1,https://static.prizepicks.com/images/players/NBA/Davion_Mitchell_NBA_player_ZoDFOmDX207i6ik62UoG3uK.webp,,,,,OK,0,116.5,89.3,41.9,37.8,13.5,24.5,15.6,51.5,28.4,56.8,19.0,17.0,19.0,17.0,14.0,12.0,13.0,13.0,22.0,7.0,16.78494623655914,18.0,Avg,4278053.0,nba_db,38.1,10.8,28.4,14.4,40.7,39.6,14.6,27.4,35.5,33.9,26.48,28.34,28.34,2.0,3.0,0.0,0.4,0.4,0.6,0.5,0.5,OK,30.0,OK,5.0,2.0,3.0,0.0,0.4,0.6,30.0,26.48,MEDIUM,HIGH_VOL,PRIMARY,5.5,5.0,7.0,1.0,0.0,3.0,2.0,2.0,2026-02-26,2.0,,5.5,5.5,246.5,2.5,122.0,False,False,FAST,live,0.0,0,True,HOME,-0.1,cache,3.0,2026-02-26,2,5.5,0.0,50.0,26.84,11.055,26.48,28.34,-0.36,1.5,41.2,40.0,-3.66,25.538,-0.1
1629639,10966860,10966860,10776,139914,2026-03-30T19:00:00.000-04:00,MIA,,Tyler Herro,G,MIA,PHI,30.0,Fantasy Score,fantasy,Goblin,35.5,1,https://static.prizepicks.com/images/players/NBA/Tyler_Herro_NBA_player_Bz7r2msPv6LxaUBsQ7Zgi8st.webp,,,,,OK,0,116.5,89.3,41.9,37.8,13.5,24.5,15.6,51.5,28.4,56.8,19.0,17.0,19.0,17.0,14.0,12.0,13.0,13.0,22.0,7.0,16.78494623655914,18.0,Avg,4395725.0,nba_db,47.6,26.6,40.9,34.5,46.7,42.6,43.1,32.2,45.7,68.8,39.26,42.87,42.87,4.0,1.0,0.0,0.8,0.8,0.2,0.9,0.1,OK,32.4,OK,5.0,4.0,1.0,0.0,0.8,0.2,32.4,39.26,HIGH,HIGH_VOL,PRIMARY,25.0,4.0,7.0,1.0,0.0,25.0,4.0,7.0,2026-02-26,1.0,,25.0,25.0,246.5,2.5,122.0,False,False,FAST,live,0.0,0,True,HOME,-0.1,cache,25.0,2026-02-26,1,25.0,0.0,29.0,39.341,11.513,39.26,42.87,-0.081,3.529,29.3,89.7,9.341,25.538,-0.1
202331,10966853,10966853,217536,139914,2026-03-30T19:00:00.000-04:00,,,Paul George,F,PHI,MIA,29.0,Fantasy Score,fantasy,Goblin,34.5,1,https://static.prizepicks.com/images/players/NBA/Paul_George_NBA_player_H4SFculbifsDYkJeMUCIHqCm.webp,,,,,OK,0,117.9,92.8,42.9,39.2,13.9,22.5,15.4,53.6,29.0,58.0,22.0,22.0,27.0,28.0,22.0,22.0,15.0,15.0,10.0,10.0,20.48387096774193,22.0,Avg,4251.0,nba_db,70.6,63.7,35.4,60.0,24.7,40.2,37.3,36.3,33.3,51.3,50.88,45.28,45.28,4.0,1.0,0.0,0.8,0.8,0.2,0.9,0.1,OK,32.6,OK,5.0,4.0,1.0,0.0,0.8,0.2,32.6,50.88,HIGH,HIGH_VOL,PRIMARY,10.0,2.0,5.0,1.0,1.0,10.0,2.0,5.0,2025-11-23,1.0,10.0,,10.0,246.5,-2.5,124.5,False,False,FAST,live,0.0,99,False,UNKNOWN,0.0,cache,10.0,2025-11-23,1,10.0,0.0,28.0,40.489,12.575,50.88,45.28,10.391,4.791,31.1,85.7,11.489,25.797,0.9
1642845,10966868,10966868,271603,139914,2026-03-30T19:00:00.000-04:00,,,VJ Edgecombe,G,PHI,MIA,26.0,Fantasy Score,fantasy,Goblin,31.5,1,https://static.prizepicks.com/images/manual/VJ_Edgecomb.png,,,,,OK,0,117.9,92.8,42.9,39.2,13.9,22.5,15.4,53.6,29.0,58.0,22.0,22.0,27.0,28.0,22.0,22.0,15.0,15.0,10.0,10.0,20.48387096774193,22.0,Avg,5124612.0,nba_db,29.0,47.2,58.7,56.6,80.4,21.6,53.4,42.8,25.0,47.5,54.38,46.22,46.22,5.0,0.0,0.0,1.0,1.0,0.0,0.8,0.2,OK,35.6,OK,5.0,5.0,0.0,0.0,1.0,0.0,35.6,54.38,HIGH,HIGH_VOL,PRIMARY,19.0,8.0,4.0,2.0,1.0,19.0,8.0,4.0,2026-02-26,1.0,19.0,,19.0,246.5,-2.5,124.5,False,False,FAST,live,0.0,99,False,UNKNOWN,0.0,cache,19.0,2026-02-26,1,19.0,0.0,53.0,39.042,13.524,54.38,46.22,15.338,7.178,34.6,77.4,13.042,25.797,0.9
1629656,10966857,10966857,228006,139914,2026-03-30T19:00:00.000-04:00,,,Quentin Grimes,G,PHI,MIA,25.0,Fantasy Score,fantasy,Demon,19.5,1,https://static.prizepicks.com/images/manual/Quentin_Grimes.png,,,,,OK,0,117.9,92.8,42.9,39.2,13.9,22.5,15.4,53.6,29.0,58.0,22.0,22.0,27.0,28.0,22.0,22.0,15.0,15.0,10.0,10.0,20.48387096774193,22.0,Avg,4397014.0,nba_db,17.2,50.2,40.0,49.0,19.9,54.1,50.6,34.6,39.1,32.5,35.26,38.72,38.72,3.0,2.0,0.0,0.6,0.6,0.4,0.8,0.2,OK,30.8,OK,5.0,3.0,2.0,0.0,0.6,0.4,30.8,35.26,HIGH,HIGH_VOL,PRIMARY,12.0,2.0,1.5,0.0,0.5,9.0,4.0,0.0,2026-02-26,2.0,12.0,,12.0,246.5,-2.5,124.5,False,False,FAST,live,0.0,99,False,UNKNOWN,0.0,cache,9.0,2026-02-26,2,12.0,0.0,53.0,29.009,13.606,35.26,38.72,6.251,9.711,46.9,62.3,4.009,25.797,0.9
1626181,10966847,10966847,271615,139914,2026-03-30T19:00:00.000-04:00,MIA,,Norman Powell,G,MIA,PHI,22.5,Fantasy Score,fantasy,Goblin,27.5,1,https://static.prizepicks.com/images/players/NBA/Norman_Powell_NBA_player_iZ2Zi8YLXUk9dnKXL0euVv1I.webp,,,,,OK,0,116.5,89.3,41.9,37.8,13.5,24.5,15.6,51.5,28.4,56.8,19.0,17.0,19.0,17.0,14.0,12.0,13.0,13.0,22.0,7.0,16.78494623655914,18.0,Avg,2595516.0,nba_db,30.1,38.3,33.3,37.4,36.7,33.2,9.6,39.2,50.4,29.1,35.16,33.73,33.73,5.0,0.0,0.0,1.0,1.0,0.0,0.9,0.1,OK,30.6,OK,5.0,5.0,0.0,0.0,1.0,0.0,30.6,35.16,HIGH,HIGH_VOL,PRIMARY,17.5,3.5,1.5,1.0,0.0,3.0,3.0,2.0,2026-02-26,2.0,,17.5,17.5,246.5,2.5,122.0,False,False,FAST,live,0.0,0,True,HOME,-0.1,cache,3.0,2026-02-26,2,17.5,0.5,46.0,35.95,12.854,35.16,33.73,-0.79,-2.22,35.8,89.1,13.45,25.538,-0.1
1630558,10966845,10966845,227883,139914,2026-03-30T19:00:00.000-04:00,MIA,,Davion Mitchell,G,MIA,PHI,19.5,Fantasy Score,fantasy,Goblin,24.5,1,https://static.prizepicks.com/images/players/NBA/Davion_Mitchell_NBA_player_ZoDFOmDX207i6ik62UoG3uK.webp,,,,,OK,0,116.5,89.3,41.9,37.8,13.5,24.5,15.6,51.5,28.4,56.8,19.0,17.0,19.0,17.0,14.0,12.0,13.0,13.0,22.0,7.0,16.78494623655914,18.0,Avg,4278053.0,nba_db,38.1,10.8,28.4,14.4,40.7,39.6,14.6,27.4,35.5,33.9,26.48,28.34,28.34,3.0,2.0,0.0,0.6,0.6,0.4,0.7,0.3,OK,30.0,OK,5.0,3.0,2.0,0.0,0.6,0.4,30.0,26.48,MEDIUM,HIGH_VOL,PRIMARY,5.5,5.0,7.0,1.0,0.0,3.0,2.0,2.0,2026-02-26,2.0,,5.5,5.5,246.5,2.5,122.0,False,False,FAST,live,0.0,0,True,HOME,-0.1,cache,3.0,2026-02-26,2,5.5,0.0,50.0,26.84,11.055,26.48,28.34,-0.36,1.5,41.2,72.0,7.34,25.538,-0.1
1629656,10966867,10966867,228006,139914,2026-03-30T19:00:00.000-04:00,,,Quentin Grimes,G,PHI,MIA,15.0,Fantasy Score,fantasy,Goblin,19.5,1,https://static.prizepicks.com/images/manual/Quentin_Grimes.png,,,,,OK,0,117.9,92.8,42.9,39.2,13.9,22.5,15.4,53.6,29.0,58.0,22.0,22.0,27.0,28.0,22.0,22.0,15.0,15.0,10.0,10.0,20.48387096774193,22.0,Avg,4397014.0,nba_db,17.2,50.2,40.0,49.0,19.9,54.1,50.6,34.6,39.1,32.5,35.26,38.72,38.72,5.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,OK,30.8,OK,5.0,5.0,0.0,0.0,1.0,0.0,30.8,35.26,HIGH,HIGH_VOL,PRIMARY,12.0,2.0,1.5,0.0,0.5,9.0,4.0,0.0,2026-02-26,2.0,12.0,,12.0,246.5,-2.5,124.5,False,False,FAST,live,0.0,99,False,UNKNOWN,0.0,cache,9.0,2026-02-26,2,12.0,0.0,53.0,29.009,13.606,35.26,38.72,6.251,9.711,46.9,79.2,14.009,25.797,0.9
203954,10959673,10959673,187996,139914,2026-03-30T19:00:00.000-04:00,,,Joel Embiid,C-F,PHI,MIA,54.5,Pts+Rebs+Asts,pra,Demon,39.5,3,https://static.prizepicks.com/images/players/NBA/Joel_Embiid_NBA_player_UhZzicEIsGHhbOqDDZRX5V6V.webp,,,,,OK,0,117.9,92.8,42.9,39.2,13.9,22.5,15.4,53.6,29.0,58.0,22.0,22.0,27.0,28.0,22.0,22.0,15.0,15.0,10.0,10.0,20.48387096774193,22.0,Avg,3059318.0,nba_db,37.0,48.0,41.0,38.0,45.0,49.0,32.0,55.0,50.0,43.0,41.8,43.8,43.8,0.0,5.0,0.0,0.0,0.0,1.0,0.1,0.9,OK,30.8,OK,5.0,0.0,5.0,0.0,0.0,1.0,30.8,41.8,HIGH,HIGH_VOL,PRIMARY,26.0,11.0,4.0,1.0,0.0,26.0,11.0,4.0,2026-02-26,1.0,26.0,,26.0,246.5,-2.5,124.5,False,False,FAST,live,0.0,99,False,UNKNOWN,0.0,cache,26.0,2026-02-26,1,26.0,0.0,29.0,40.379,9.454,41.8,43.8,1.421,3.421,23.4,6.9,-14.121,17.486,1.9
203954,10958643,10958643,187996,139914,2026-03-30T19:00:00.000-04:00,,,Joel Embiid,C-F,PHI,MIA,49.5,Pts+Rebs+Asts,pra,Demon,39.5,2,https://static.prizepicks.com/images/players/NBA/Joel_Embiid_NBA_player_UhZzicEIsGHhbOqDDZRX5V6V.webp,,,,,OK,0,117.9,92.8,42.9,39.2,13.9,22.5,15.4,53.6,29.0,58.0,22.0,22.0,27.0,28.0,22.0,22.0,15.0,15.0,10.0,10.0,20.48387096774193,22.0,Avg,3059318.0,nba_db,37.0,48.0,41.0,38.0,45.0,49.0,32.0,55.0,50.0,43.0,41.8,43.8,43.8,0.0,5.0,0.0,0.0,0.0,1.0,0.2,0.8,OK,30.8,OK,5.0,0.0,5.0,0.0,0.0,1.0,30.8,41.8,HIGH,HIGH_VOL,PRIMARY,26.0,11.0,4.0,1.0,0.0,26.0,11.0,4.0,2026-02-26,1.0,26.0,,26.0,246.5,-2.5,124.5,False,False,FAST,live,0.0,99,False,UNKNOWN,0.0,cache,26.0,2026-02-26,1,26.0,0.0,29.0,40.379,9.454,41.8,43.8,1.421,3.421,23.4,20.7,-9.121,17.486,1.9
